INFO:root:Start: 2_parse_target_tweets.py 
INFO:root:Processing mode of research: UNCW
INFO:root:Processing file files\target_tweets\UNCW\UNCW-20201025194056.txt 1/2
INFO:root:Tweet ID 1320504711062212609 already processed, skipping...
INFO:root:Tweet ID 1320496970381828100 already processed, skipping...
INFO:root:Tweet ID 1320488997030952960 already processed, skipping...
INFO:root:Tweet ID 1320478347709865984 already processed, skipping...
INFO:root:Tweet ID 1320472251821674496 already processed, skipping...
INFO:root:Tweet ID 1320469208619245580 already processed, skipping...
INFO:root:Tweet ID 1320459980152180737 already processed, skipping...
INFO:root:Tweet ID 1320457940172722176 already processed, skipping...
INFO:root:Tweet ID 1320427550108246017 already processed, skipping...
INFO:root:Tweet ID 1320420764991016960 already processed, skipping...
INFO:root:Tweet ID 1320417447535575043 already processed, skipping...
INFO:root:Tweet ID 1320417191729287169 already processed, skipping...
INFO:root:Tweet ID 1320416740673835008 already processed, skipping...
INFO:root:Tweet ID 1320407755308601351 already processed, skipping...
INFO:root:Tweet ID 1320399439421460488 already processed, skipping...
INFO:root:Tweet ID 1320396680760598530 already processed, skipping...
INFO:root:Tweet ID 1320391533342920707 already processed, skipping...
INFO:root:Tweet ID 1320385831752945676 already processed, skipping...
INFO:root:Tweet ID 1320381942483869701 already processed, skipping...
INFO:root:Tweet ID 1320372403168563200 already processed, skipping...
INFO:root:Tweet ID 1320367597704151041 already processed, skipping...
INFO:root:Tweet ID 1320352645459202048 already processed, skipping...
INFO:root:Tweet ID 1320350466610323456 already processed, skipping...
INFO:root:Tweet ID 1320346558358061058 already processed, skipping...
INFO:root:Tweet ID 1320346494587838465 already processed, skipping...
INFO:root:Tweet ID 1320345611154096128 already processed, skipping...
INFO:root:Tweet ID 1320341942278946816 already processed, skipping...
INFO:root:Tweet ID 1320340252821782528 already processed, skipping...
INFO:root:Tweet ID 1320340100711141377 already processed, skipping...
INFO:root:Tweet ID 1320337796410769408 already processed, skipping...
INFO:root:Tweet ID 1320336998603788288 already processed, skipping...
INFO:root:Tweet ID 1320334892845068288 already processed, skipping...
INFO:root:Tweet ID 1320332526955732994 already processed, skipping...
INFO:root:Tweet ID 1320331897214480385 already processed, skipping...
INFO:root:Tweet ID 1320331638925070336 already processed, skipping...
INFO:root:Tweet ID 1320330877524713472 already processed, skipping...
INFO:root:Tweet ID 1320325448228810752 already processed, skipping...
INFO:root:Tweet ID 1320303423611437057 already processed, skipping...
INFO:root:Tweet ID 1320286956752936961 already processed, skipping...
INFO:root:Tweet ID 1320264665692311557 already processed, skipping...
INFO:root:Tweet ID 1320255934002843650 already processed, skipping...
INFO:root:Tweet ID 1320240591792386048 already processed, skipping...
INFO:root:Tweet ID 1320231435563880448 already processed, skipping...
INFO:root:Tweet ID 1320230954766635009 already processed, skipping...
INFO:root:Tweet ID 1320223335633006592 already processed, skipping...
INFO:root:Tweet ID 1320222881301889024 already processed, skipping...
INFO:root:Tweet ID 1320221635257970688 already processed, skipping...
INFO:root:Tweet ID 1320212657622913025 already processed, skipping...
INFO:root:Tweet ID 1320207720293728259 already processed, skipping...
INFO:root:Tweet ID 1320205919079247872 already processed, skipping...
INFO:root:Tweet ID 1320188978675548161 already processed, skipping...
INFO:root:Tweet ID 1320187534685687813 already processed, skipping...
INFO:root:Tweet ID 1320187027648925697 already processed, skipping...
INFO:root:Tweet ID 1320169164728897537 already processed, skipping...
INFO:root:Tweet ID 1320168923560640512 already processed, skipping...
INFO:root:Tweet ID 1320148164394049536 already processed, skipping...
INFO:root:Tweet ID 1320133980205817856 already processed, skipping...
INFO:root:Tweet ID 1320127117099700225 already processed, skipping...
INFO:root:Tweet ID 1320121470467641345 already processed, skipping...
INFO:root:Tweet ID 1320118617644650497 already processed, skipping...
INFO:root:Tweet ID 1320110331159584769 already processed, skipping...
INFO:root:Tweet ID 1320083929408393218 already processed, skipping...
INFO:root:Tweet ID 1320065027748016128 already processed, skipping...
INFO:root:Tweet ID 1320054401432801281 already processed, skipping...
INFO:root:Tweet ID 1320048237705822209 already processed, skipping...
INFO:root:Tweet ID 1320047403261542401 already processed, skipping...
INFO:root:Tweet ID 1320021074336043008 already processed, skipping...
INFO:root:Tweet ID 1320018688808865792 already processed, skipping...
INFO:root:Tweet ID 1320013604217933825 already processed, skipping...
INFO:root:Tweet ID 1320010538143854593 already processed, skipping...
INFO:root:Tweet ID 1320008963463806978 already processed, skipping...
INFO:root:Tweet ID 1319995784809619456 already processed, skipping...
