INFO:root:Start: 2_parse_target_tweets.py 
INFO:root:Processing mode of research: UNCW
INFO:root:Processing file files\target_tweets_UNCW\UNCW\UNCW-20201105130502.txt 1/1
INFO:root:Tweet ID 1324412321083592708 already processed, skipping...
INFO:root:Tweet ID 1324408754406936578 already processed, skipping...
INFO:root:Tweet ID 1324408160459890690 already processed, skipping...
INFO:root:Tweet ID 1324404067418968065 already processed, skipping...
INFO:root:Tweet ID 1324402098994335744 already processed, skipping...
INFO:root:Tweet ID 1324383982444634112 already processed, skipping...
INFO:root:Tweet ID 1324383351084519425 already processed, skipping...
INFO:root:Tweet ID 1324380312047034368 already processed, skipping...
INFO:root:Tweet ID 1324379922446446594 already processed, skipping...
INFO:root:Tweet ID 1324379566597496833 already processed, skipping...
INFO:root:Tweet ID 1324379198211813377 already processed, skipping...
INFO:root:Tweet ID 1324379016577470469 already processed, skipping...
INFO:root:Tweet ID 1324375635482083329 already processed, skipping...
INFO:root:Tweet ID 1324373826281590790 already processed, skipping...
INFO:root:Tweet ID 1324371249380950018 already processed, skipping...
INFO:root:Tweet ID 1324368379856080896 already processed, skipping...
INFO:root:Tweet ID 1324367457730154498 already processed, skipping...
INFO:root:Tweet ID 1324365600135806984 already processed, skipping...
INFO:root:Tweet ID 1324363317448761346 already processed, skipping...
INFO:root:Tweet ID 1324361964215304194 already processed, skipping...
INFO:root:Tweet ID 1324360697338159104 already processed, skipping...
INFO:root:Tweet ID 1324360148450725890 already processed, skipping...
INFO:root:Tweet ID 1324359379852906498 already processed, skipping...
INFO:root:Tweet ID 1324358439347187716 already processed, skipping...
INFO:root:Tweet ID 1324356995978268673 already processed, skipping...
INFO:root:Tweet ID 1324354854987436032 already processed, skipping...
INFO:root:Tweet ID 1324343782721150980 already processed, skipping...
INFO:root:Tweet ID 1324342053564784642 already processed, skipping...
INFO:root:Tweet ID 1324341623623458816 already processed, skipping...
INFO:root:Tweet ID 1324340642898731010 already processed, skipping...
INFO:root:Tweet ID 1324339957075509254 already processed, skipping...
INFO:root:Tweet ID 1324339831846150144 already processed, skipping...
INFO:root:Tweet ID 1324338743378063360 already processed, skipping...
INFO:root:Tweet ID 1324337435548024832 already processed, skipping...
INFO:root:Tweet ID 1324336909582303234 already processed, skipping...
INFO:root:Tweet ID 1324330379428417537 already processed, skipping...
INFO:root:Tweet ID 1324327758755934211 already processed, skipping...
INFO:root:Tweet ID 1324326305312215046 already processed, skipping...
INFO:root:Tweet ID 1324326259351060480 already processed, skipping...
INFO:root:Tweet ID 1324325509032005633 already processed, skipping...
INFO:root:Tweet ID 1324325319734677504 already processed, skipping...
INFO:root:Tweet ID 1324325228944777216 already processed, skipping...
INFO:root:Tweet ID 1324314386614362113 already processed, skipping...
INFO:root:Tweet ID 1324304218686181379 already processed, skipping...
INFO:root:Tweet ID 1324291998065561600 already processed, skipping...
INFO:root:Tweet ID 1324232593471115271 already processed, skipping...
INFO:root:Tweet ID 1324226614515789825 already processed, skipping...
INFO:root:Tweet ID 1324213559404990465 already processed, skipping...
INFO:root:Tweet ID 1324209947731775488 already processed, skipping...
INFO:root:Tweet ID 1324208290155421696 already processed, skipping...
INFO:root:Tweet ID 1324204684274446338 already processed, skipping...
INFO:root:Tweet ID 1324204370670637056 already processed, skipping...
INFO:root:Tweet ID 1324183118245449728 already processed, skipping...
INFO:root:Tweet ID 1324172311411499009 already processed, skipping...
INFO:root:Tweet ID 1324159406745989120 already processed, skipping...
INFO:root:Tweet ID 1324158188262891521 already processed, skipping...
INFO:root:Tweet ID 1324154868815245312 already processed, skipping...
INFO:root:Tweet ID 1324150356574576640 already processed, skipping...
INFO:root:Tweet ID 1324145879838838787 already processed, skipping...
INFO:root:Tweet ID 1324145725312098304 already processed, skipping...
INFO:root:Tweet ID 1324145639316316161 already processed, skipping...
INFO:root:Tweet ID 1324145502883962884 already processed, skipping...
INFO:root:Tweet ID 1324139810483773443 already processed, skipping...
INFO:root:Tweet ID 1324139784307150849 already processed, skipping...
INFO:root:Tweet ID 1324139363383599109 already processed, skipping...
INFO:root:Tweet ID 1324123837496205315 already processed, skipping...
INFO:root:Tweet ID 1324121040671440896 already processed, skipping...
INFO:root:Tweet ID 1324112882766880772 already processed, skipping...
INFO:root:Tweet ID 1324112846364516352 already processed, skipping...
INFO:root:Tweet ID 1324112638390030343 already processed, skipping...
INFO:root:Tweet ID 1324112445552627713 already processed, skipping...
INFO:root:Tweet ID 1324111265514590214 already processed, skipping...
INFO:root:Tweet ID 1324111227509968901 already processed, skipping...
INFO:root:Tweet ID 1324110265919672322 already processed, skipping...
INFO:root:Tweet ID 1324098089645445120 already processed, skipping...
INFO:root:Tweet ID 1324094195255173133 already processed, skipping...
INFO:root:Tweet ID 1324091120960393233 already processed, skipping...
INFO:root:Tweet ID 1324079836428607488 already processed, skipping...
INFO:root:Tweet ID 1324079044569292800 already processed, skipping...
INFO:root:Tweet ID 1324075372686774279 already processed, skipping...
INFO:root:Tweet ID 1324074967630163968 already processed, skipping...
