INFO:root:Start: 3_preprocess_target_tweets.py 
DEBUG:root:Processing tweet 1/990
DEBUG:root:Processing tweet 2/990
DEBUG:root:Processing tweet 3/990
DEBUG:root:Tweet 1324408160459890690 already processed
DEBUG:root:Processing tweet 4/990
DEBUG:root:Processing tweet 5/990
DEBUG:root:Processing tweet 6/990
DEBUG:root:Processing tweet 7/990
DEBUG:root:Processing tweet 8/990
DEBUG:root:Processing tweet 9/990
DEBUG:root:Processing tweet 10/990
DEBUG:root:Processing tweet 11/990
DEBUG:root:Processing tweet 12/990
DEBUG:root:Processing tweet 13/990
DEBUG:root:Processing tweet 14/990
DEBUG:root:Processing tweet 15/990
DEBUG:root:Processing tweet 16/990
DEBUG:root:Processing tweet 17/990
DEBUG:root:Processing tweet 18/990
DEBUG:root:Processing tweet 19/990
DEBUG:root:Processing tweet 20/990
DEBUG:root:Processing tweet 21/990
DEBUG:root:Processing tweet 22/990
DEBUG:root:Processing tweet 23/990
DEBUG:root:Processing tweet 24/990
DEBUG:root:Tweet 1324358439347187716 already processed
DEBUG:root:Processing tweet 25/990
DEBUG:root:Processing tweet 26/990
DEBUG:root:Tweet 1324354854987436032 already processed
DEBUG:root:Processing tweet 27/990
DEBUG:root:Processing tweet 28/990
DEBUG:root:Processing tweet 29/990
DEBUG:root:Processing tweet 30/990
DEBUG:root:Processing tweet 31/990
DEBUG:root:Processing tweet 32/990
DEBUG:root:Tweet 1324339831846150144 already processed
DEBUG:root:Processing tweet 33/990
DEBUG:root:Processing tweet 34/990
DEBUG:root:Tweet 1324337435548024832 already processed
DEBUG:root:Processing tweet 35/990
DEBUG:root:Processing tweet 36/990
DEBUG:root:Processing tweet 37/990
DEBUG:root:Processing tweet 38/990
DEBUG:root:Processing tweet 39/990
DEBUG:root:Processing tweet 40/990
DEBUG:root:Processing tweet 41/990
DEBUG:root:Processing tweet 42/990
DEBUG:root:Processing tweet 43/990
DEBUG:root:Processing tweet 44/990
DEBUG:root:Processing tweet 45/990
DEBUG:root:Processing tweet 46/990
DEBUG:root:Processing tweet 47/990
DEBUG:root:Processing tweet 48/990
DEBUG:root:Processing tweet 49/990
DEBUG:root:Processing tweet 50/990
DEBUG:root:Tweet 1324208290155421696 already processed
DEBUG:root:Processing tweet 51/990
DEBUG:root:Processing tweet 52/990
DEBUG:root:Processing tweet 53/990
DEBUG:root:Processing tweet 54/990
DEBUG:root:Tweet 1324172311411499009 already processed
DEBUG:root:Processing tweet 55/990
DEBUG:root:Processing tweet 56/990
DEBUG:root:Processing tweet 57/990
DEBUG:root:Processing tweet 58/990
DEBUG:root:Processing tweet 59/990
DEBUG:root:Processing tweet 60/990
DEBUG:root:Processing tweet 61/990
DEBUG:root:Processing tweet 62/990
DEBUG:root:Processing tweet 63/990
DEBUG:root:Processing tweet 64/990
DEBUG:root:Processing tweet 65/990
DEBUG:root:Tweet 1324139363383599109 already processed
DEBUG:root:Processing tweet 66/990
DEBUG:root:Processing tweet 67/990
DEBUG:root:Processing tweet 68/990
DEBUG:root:Processing tweet 69/990
DEBUG:root:Processing tweet 70/990
DEBUG:root:Processing tweet 71/990
DEBUG:root:Processing tweet 72/990
DEBUG:root:Processing tweet 73/990
DEBUG:root:Processing tweet 74/990
DEBUG:root:Processing tweet 75/990
DEBUG:root:Processing tweet 76/990
DEBUG:root:Processing tweet 77/990
DEBUG:root:Processing tweet 78/990
DEBUG:root:Processing tweet 79/990
DEBUG:root:Tweet 1324079044569292800 already processed
DEBUG:root:Processing tweet 80/990
DEBUG:root:Processing tweet 81/990
DEBUG:root:Processing tweet 82/990
DEBUG:root:Processing tweet 83/990
DEBUG:root:Processing tweet 84/990
DEBUG:root:Processing tweet 85/990
DEBUG:root:Processing tweet 86/990
DEBUG:root:Processing tweet 87/990
DEBUG:root:Processing tweet 88/990
DEBUG:root:Processing tweet 89/990
DEBUG:root:Processing tweet 90/990
DEBUG:root:Processing tweet 91/990
DEBUG:root:Processing tweet 92/990
DEBUG:root:Processing tweet 93/990
DEBUG:root:Processing tweet 94/990
DEBUG:root:Processing tweet 95/990
DEBUG:root:Processing tweet 96/990
DEBUG:root:Processing tweet 97/990
DEBUG:root:Processing tweet 98/990
DEBUG:root:Processing tweet 99/990
DEBUG:root:Tweet 1324027419913801730 already processed
DEBUG:root:Processing tweet 100/990
DEBUG:root:Processing tweet 101/990
DEBUG:root:Processing tweet 102/990
DEBUG:root:Processing tweet 103/990
DEBUG:root:Tweet 1324026658186285060 already processed
DEBUG:root:Processing tweet 104/990
DEBUG:root:Tweet 1324023377330397184 already processed
DEBUG:root:Processing tweet 105/990
DEBUG:root:Processing tweet 106/990
DEBUG:root:Processing tweet 107/990
DEBUG:root:Processing tweet 108/990
DEBUG:root:Processing tweet 109/990
DEBUG:root:Processing tweet 110/990
DEBUG:root:Processing tweet 111/990
DEBUG:root:Processing tweet 112/990
DEBUG:root:Processing tweet 113/990
DEBUG:root:Processing tweet 114/990
DEBUG:root:Processing tweet 115/990
DEBUG:root:Processing tweet 116/990
DEBUG:root:Processing tweet 117/990
DEBUG:root:Processing tweet 118/990
DEBUG:root:Processing tweet 119/990
DEBUG:root:Processing tweet 120/990
DEBUG:root:Processing tweet 121/990
DEBUG:root:Processing tweet 122/990
DEBUG:root:Processing tweet 123/990
DEBUG:root:Processing tweet 124/990
DEBUG:root:Processing tweet 125/990
DEBUG:root:Processing tweet 126/990
DEBUG:root:Processing tweet 127/990
DEBUG:root:Processing tweet 128/990
DEBUG:root:Processing tweet 129/990
DEBUG:root:Processing tweet 130/990
DEBUG:root:Processing tweet 131/990
DEBUG:root:Processing tweet 132/990
DEBUG:root:Processing tweet 133/990
DEBUG:root:Processing tweet 134/990
DEBUG:root:Processing tweet 135/990
DEBUG:root:Processing tweet 136/990
DEBUG:root:Tweet 1324004776099631112 already processed
DEBUG:root:Processing tweet 137/990
DEBUG:root:Processing tweet 138/990
DEBUG:root:Processing tweet 139/990
DEBUG:root:Processing tweet 140/990
DEBUG:root:Processing tweet 141/990
DEBUG:root:Processing tweet 142/990
DEBUG:root:Processing tweet 143/990
DEBUG:root:Processing tweet 144/990
DEBUG:root:Processing tweet 145/990
DEBUG:root:Processing tweet 146/990
DEBUG:root:Processing tweet 147/990
DEBUG:root:Processing tweet 148/990
DEBUG:root:Processing tweet 149/990
DEBUG:root:Processing tweet 150/990
DEBUG:root:Processing tweet 151/990
DEBUG:root:Tweet 1323992213676765186 already processed
DEBUG:root:Processing tweet 152/990
DEBUG:root:Processing tweet 153/990
DEBUG:root:Processing tweet 154/990
DEBUG:root:Processing tweet 155/990
DEBUG:root:Processing tweet 156/990
DEBUG:root:Processing tweet 157/990
DEBUG:root:Processing tweet 158/990
DEBUG:root:Processing tweet 159/990
DEBUG:root:Processing tweet 160/990
DEBUG:root:Processing tweet 161/990
DEBUG:root:Processing tweet 162/990
DEBUG:root:Processing tweet 163/990
DEBUG:root:Processing tweet 164/990
DEBUG:root:Processing tweet 165/990
DEBUG:root:Processing tweet 166/990
DEBUG:root:Processing tweet 167/990
DEBUG:root:Processing tweet 168/990
DEBUG:root:Processing tweet 169/990
DEBUG:root:Processing tweet 170/990
DEBUG:root:Processing tweet 171/990
DEBUG:root:Processing tweet 172/990
DEBUG:root:Processing tweet 173/990
DEBUG:root:Processing tweet 174/990
